Asignatura,Codigo
CARTOGRAFIA 1,228
GEOGRAFIA HUMANA ,229
ECONOMIA POLITICA ,230
CARTOGRAFIA DIGITAL APLICADA ,231
GEODESIA SATELITAL,232
METEOROLOGIA Y CLIMATOLOGIA,233
ESTUDIOS DE SUELOS ,234
FORM. Y EVAL. DE PROYECTOS ,235
INTRODUCCION A LA CIENCIA AMBIENTAL,236
INTRODUCCION AL ORDENAMIENTO TERRITORIAL ,237
AEROTRIANGULACION,238
MATERIALES 1,239
MECANISMOS,240
ELECTROTECNIA,241
MECANICA DE SOLIDOS,242
PROCESOS DE FABRICACION 2,243
TERMOTECNIA 1,244
AUTOMATIZACION Y CONTROL,245
DIBUJO MECANICO,246
LABORATORIO MECANICO 2,247
PROYECTO INTEGRADO,248
PLASTICOS,249
SISTEMAS HIDRAULICOS Y NEUMATICOS,250
ACONDICIONADOR DE AIRE Y REFRIGERACION,251
LABORATORIO MECANICO 3,252
PROYECTO 2,253
ROBOTICA 1,254
PROTOCOLO DE COMUNICACION,255
PROYECTO 4,256
SISTEMAS DE CONTROL DIGITAL,257
CONTROLADORES LOGICOS,258
DISEÑO LOGICO DIGITAL,259
REDES INDUSTRIALES Y SCADA,260
CIENCIA DE LOS MATERIALES,261
DISEÑO DE SIST. DE MANUF.,262
TECNOLOGIA MECANICA,263
ELECTROTECNIA 1,264
INVESTIGACION DE OPERACIONES 1,265
ECONOMIA,266
DISEÑO DE INST. INDUSTRIALES 2,267
OPERACIONES INDUSTRIALES,268
INSTRUMENTACION Y AUTOMATIZACION,269
INVEST. DE OPERACIONES 3,270
COMERCIALIZACION,271
CALCULO 1,272
FISICA 1,273
GEOMETRIA ANALITICA,274
ALGEBRA LINEAL 1,275
DISEÑO Y PUBLICACION DE MAPAS EN LA WEB,276
INMOTICA Y DOMOTICA,277
ENERGIA SOLAR Y BIOMASA,278
PLC,279
INTRODUCCION A ELECTRONICA MEDICA,280
EDAFOLOGIA ,281
SISTEMA DE INFORMACION GEOGRAFICA ,282
TELEMETRIA Y TELECONTROL,283
GEOMETRIA DESCRIPTIVA,284
PROBABILIDAD Y ESTADISTICA,285
MATERIALES DE OBRAS CIVILES 1,286
GEOLOGIA GENERAL,287
MATERIALES DE OBRAS CIVILES 2,288
FISICA GRAVIMETRICA,289
TOPOGRAFIA 2,290
GEODESIA GRAVIMETRICA,291
BIOLOGIA AMBIENTAL,292
SOCIOLOGIA,293
ECONOMIA POLITICA,294
SIG ANALISIS ESPACIAL,295
PLANIFICACION DEL USO DE LA TIERRA,296
"REGIMEN JURIDICO, TEORICO Y PRACTICO DEL INMUEBLE",297
FORMULACION Y GESTION DE PROYECTOS,298
FUNDAMENTOS MATEMATICOS PARA LA CIENCIAS GEOGRAFICAS,299
TRACTORES Y MAQUINARIAS,300
FOTONICA APLICADA,301
REDES DE SENSORES INALAMBRICOS,302
LENGUAJE DE PROGRAMACION,303
ELECTROMAGNETISMO 2,304
COMUNICACIONES OPTICAS,305
TOPOGRAFIA I,306
FOTOGRAMETRIA I,307
GEODESIA GEOMETRICA,308
GEOGRAFIA HUMANA,309
EDAFOLOGIA,310
HIDROLOGIA GENERAL E HIDRAULICA,311
"LEVANT. REG., CATASTRALES E HIDROTOPOGRAFICOS",312
GEOMORFOLOGIA,313
INTR AL DESARROLLO TERRITORIAL- MANEJO DE CONSERVACION DE SU,314
SENSORES REMOTOS,315
TOPOGRAFIA DE OBRA,316
AVALUO Y TASACION,317
EVALUACION Y GESTION AMBIENTAL,318
ORGANIZACION DE EMPRESAS,319
